Country,Policy,Year,Biomass,Catch,Profits
Canada,Business As Usual,2044,2285803.0024779546,330004.199502628,773400957.3281904
Canada,Business As Usual,2045,2285986.506716326,330111.77361912007,773160972.4099277
Canada,Business As Usual,2046,2286048.773382113,330094.9020558224,772150522.0449018
Canada,Business As Usual,2047,2286133.2517079236,330160.50352713896,771776327.431017
Canada,Business As Usual,2048,2286142.770768585,330131.11943075305,770110134.9015752
Canada,Business As Usual,2049,2286187.4768922827,330176.91633511067,768374460.8718667
Canada,Business As Usual,2050,2286179.340025741,330146.50968654716,766894646.7547244
Canada,Fmsy,2013,503098.76267903333,240579.54868736005,195837746.8157648
Canada,Fmsy,2014,466723.201560993,187582.62899455044,106026902.66261669
Canada,Fmsy,2015,504710.16926275654,207922.10125133957,176015342.862175
Canada,Fmsy,2016,539866.2247327252,218678.53307500054,209381803.47659865
Canada,Fmsy,2017,575495.4691208871,225819.0332228975,227598110.68518212
Canada,Fmsy,2018,613821.2523936259,234395.71252057713,250833750.6749507
Canada,Fmsy,2019,652317.8056577549,242019.80916053586,270239840.1249979
Canada,Fmsy,2020,692057.9287971609,251990.88798077416,299758682.11014396
Canada,Fmsy,2021,731719.068178142,260772.27683832642,324713127.7865757
Canada,Fmsy,2022,769194.6417521837,260428.61874158884,310885458.70533663
Canada,Fmsy,2023,809242.0986602302,265910.870154641,318269602.85129905
Canada,Fmsy,2024,850279.3375698974,271440.8767165035,327724652.4322522
Canada,Fmsy,2025,892275.7402718568,277045.934678527,341547913.4636056
Canada,Fmsy,2026,934811.1469137393,282433.8916889973,353801207.06785303
Canada,Fmsy,2027,977483.8848647063,287416.957624709,365555063.46450734
Canada,Fmsy,2028,1020449.9471295116,292748.6493372705,378310462.2928816
Canada,Fmsy,2029,1064067.32787352,300511.999177982,401243892.40822005
Canada,Fmsy,2030,1107153.6958223155,307879.4798031929,422332945.8478286
Canada,Fmsy,2031,1146765.8292682867,306295.84524504363,407882158.6953955
Canada,Fmsy,2032,1187264.6218508566,310744.2519078583,417623612.5115333
Canada,Fmsy,2033,1226493.3675096412,315035.0960061027,427030428.8016509
Canada,Fmsy,2034,1264241.8728751116,319150.5244643129,435853309.3217223
Canada,Fmsy,2035,1300340.9353858908,323077.9323520934,444241524.96631193
Canada,Fmsy,2036,1334673.6224047542,326844.3094172794,452204350.322905
Canada,Fmsy,2037,1367270.3894907418,330829.6687530802,461395806.6864709
Canada,Fmsy,2038,1398719.7816020702,337103.5806184693,479916760.34436244
Canada,Fmsy,2039,1428133.04221982,342856.50730414444,496667693.2946991
Canada,Fmsy,2040,1452880.1842509592,339559.68930954847,478018237.9101202
Canada,Fmsy,2041,1477634.5747967416,342222.0106350652,483233116.2227135
Canada,Fmsy,2042,1500541.0361643073,344682.62703697954,487933401.295314
Canada,Fmsy,2043,1521667.4606376349,346949.70970638905,492209545.2867214
Canada,Fmsy,2044,1541094.259173059,349035.25612345635,496063788.34331423
Canada,Fmsy,2045,1558921.0328713714,350987.3692730343,499685667.6386341
Canada,Fmsy,2046,1575360.791714725,353204.1787427527,504593295.41976756
Canada,Fmsy,2047,1591150.7293615404,357769.8443427068,518920082.080079
Canada,Fmsy,2048,1605518.682933402,361886.2722077108,531662838.2708793
Canada,Fmsy,2049,1615921.6865058562,357033.0821104704,509749886.8375472
Canada,Fmsy,2050,1627093.742314445,358224.86828524806,511569873.53027385
Canada,Opt,2013,503098.76267903333,148102.589734504,300955586.7895341
Canada,Opt,2014,558675.5641995713,151205.5729588403,296425905.18067485
Canada,Opt,2015,640470.8166862194,170833.16161734378,325316611.49347854
Canada,Opt,2016,718056.5729009252,180443.05824289695,346482738.35757315
Canada,Opt,2017,801078.4748861914,205513.80569993,395206012.9491144
Canada,Opt,2018,868482.6542083033,220086.9212023666,425068626.41211283
Canada,Opt,2019,930155.4202889381,224612.0755473,426179832.35410845
Canada,Opt,2020,999221.3597472024,231271.1024094685,443150069.9862894
Canada,Opt,2021,1071884.8796192463,233369.68255269973,444024808.5428577
Canada,Opt,2022,1152820.9161920852,233893.84109917193,444869784.4968609
Canada,Opt,2023,1242891.430102618,235122.35394499407,447953353.45316285
Canada,Opt,2024,1340751.6453066766,237078.49375827765,452240054.95111966
Canada,Opt,2025,1444686.8769372636,241414.49479549934,462310230.46257114
Canada,Opt,2026,1550956.3293586634,247047.61611837219,474673378.0900306
Canada,Opt,2027,1656917.290433332,255837.36984481497,494557667.36031455
Canada,Opt,2028,1757910.5546683068,265670.21592608775,516164231.29320616
Canada,Opt,2029,1851632.4106901193,278719.3463908041,545313324.5412778
Canada,Opt,2030,1933624.2552347207,292470.6402451103,575396820.5769494
Canada,Opt,2031,2002310.3658747848,306880.1794196478,607393426.132853
Canada,Opt,2032,2056354.9921916907,320663.7103490428,637410442.3178681
Canada,Opt,2033,2096122.0624093995,332177.83794347063,662920790.6219825
Canada,Opt,2034,2123750.3494719528,341190.9494299504,682466105.840981
Canada,Opt,2035,2141853.4716143426,347488.03538184136,696475919.046115
Canada,Opt,2036,2153235.363792653,351374.80751413706,704857495.3271184
Canada,Opt,2037,2160471.5742475786,354003.49017749133,710804239.6497993
Canada,Opt,2038,2164877.864238904,355488.6267146297,713938110.1229227
Canada,Opt,2039,2167697.911395784,356565.65547563485,716443989.3241029
Canada,Opt,2040,2169351.6863128324,357092.03970717906,717486904.0825813
Canada,Opt,2041,2170446.76717983,357544.50569891126,718594642.043084
Canada,Opt,2042,2171048.060260869,357705.36098251026,718849868.0264393
Canada,Opt,2043,2171482.536596057,357911.7051864505,719397028.9579971
Canada,Opt,2044,2171689.1256567985,357939.73254751624,719374955.1383889
Canada,Opt,2045,2171870.8341725874,358047.30542893044,719689445.3195269
Canada,Opt,2046,2171931.891066258,358030.4330911879,719581638.4518137
Canada,Opt,2047,2172015.554144475,358096.03407708614,719791165.3714548
Canada,Opt,2048,2172024.52366595,358066.64967634866,719667000.739899
Canada,Opt,2049,2172068.8592522643,358112.4463899224,719822465.2454093
Canada,Opt,2050,2172060.4724716893,358082.0396217451,719705515.8664994
Japan,Business As Usual,2013,3946887.132728359,539556.5654290043,163687033.36060292
Japan,Business As Usual,2014,4706424.388843204,658558.6270117509,369832768.9021457
Japan,Business As Usual,2015,5450961.791527318,885305.2428845135,660592402.7452013
Japan,Business As Usual,2016,6038782.6025298415,1002152.3102779224,777402706.9506661
Japan,Business As Usual,2017,6570349.715125596,1049163.5773661984,797793052.0935941
Japan,Business As Usual,2018,7111139.875658049,1132465.4514278697,822408058.7792693
Japan,Business As Usual,2019,7614241.235128614,1248076.501458753,869940389.841974
Japan,Business As Usual,2020,8036790.409665633,1366824.0512586758,912989933.7112063
Japan,Business As Usual,2021,8371227.113954644,1420476.7521982477,941913294.0341539
Japan,Business As Usual,2022,8683178.405630112,1436609.3195907078,946973332.1951877
Japan,Business As Usual,2023,9010108.524085604,1442562.717750355,954210307.7232289
Japan,Business As Usual,2024,9360177.839568168,1446409.6916707747,958367610.5959013
Japan,Business As Usual,2025,9732087.71750562,1455140.8731406026,980775549.4881668
Japan,Business As Usual,2026,10116442.184496703,1477791.251586131,1016738115.2606559
Japan,Business As Usual,2027,10493952.654329166,1509798.21199255,1072642789.1655847
Japan,Business As Usual,2028,10849521.042647492,1561548.6504490762,1149908502.8971329
Japan,Business As Usual,2029,11158296.307291655,1640135.760687993,1270551070.84326
Japan,Business As Usual,2030,11389495.735516699,1722449.5082133482,1390474599.4224029
Japan,Business As Usual,2031,11537256.592604032,1784555.7386732162,1486767598.3874247
Japan,Business As Usual,2032,11621388.837070966,1819913.684754748,1539275854.9929311
Japan,Business As Usual,2033,11669028.449164115,1837870.695797495,1574637615.595152
Japan,Business As Usual,2034,11697986.94929877,1848922.9297014156,1595383044.9646287
Japan,Business As Usual,2035,11715426.315063395,1855626.625016559,1614936198.6333656
Japan,Business As Usual,2036,11725872.86004452,1859657.785316091,1625821791.9982517
Japan,Business As Usual,2037,11732113.685551371,1862070.151165363,1638094224.248473
Japan,Business As Usual,2038,11735838.626426114,1863510.3148188014,1647421521.7843277
Japan,Business As Usual,2039,11738062.939109761,1864369.4403591005,1656961551.2692502
Japan,Business As Usual,2040,11739393.370076416,1864882.2146501776,1662187638.4976
